airline,average_booking_amount,gross_bookings,user_cancellations,commission_per_booking,fees_per_cancellation
Aardvark Airlines,$866,1091224,829330,0.22%,0.66%
Abbaye De Belloc Airlines,"$1,705",261666,175316,0.10%,0.23%
Abbaye De Citeaux Airlines,"$1,589",1753382,263007,0.21%,0.38%
Abbaye Du Mont Des Cats Airlines,"$1,012",293532,137960,0.18%,0.40%
Abertam Airlines,"$1,275",1410168,183322,0.41%,0.49%
Abondance Airlines,$346,357681,250377,0.48%,1.12%
Absolutno Airlines,"$1,417",880363,704290,0.23%,0.31%
Abyssinian Airlines,"$1,235",1130841,949906,0.42%,0.64%
Acamar Airlines,$374,1796577,323384,0.89%,1.72%
Acapella Airlines,$501,1202048,468799,0.44%,0.99%
Achernar Airlines,$479,990694,416091,1.03%,1.53%
Achird Airlines,"$1,127",452840,72454,0.13%,0.35%
Ackawi Airlines,"$1,668",1953823,312612,0.30%,0.48%
Acorn Airlines,"$1,408",1402451,140245,0.34%,0.52%
Acrab Airlines,"$1,292",854257,469841,0.22%,0.33%
Acrux Airlines,"$1,290",1091579,185568,0.15%,0.38%
Acubens Airlines,$941,677081,446873,0.52%,0.84%
Adelie Penguin Airlines,$987,652859,489644,0.29%,0.51%
Adelost Airlines,"$1,473",1789531,1395834,0.33%,0.45%
Adhafera Airlines,$471,1832892,1081406,0.32%,0.82%
Adhara Airlines,$278,1101018,891825,1.94%,2.41%
Adhil Airlines,"$1,829",1284276,783408,0.20%,0.31%
Affenpinscher Airlines,"$1,860",526341,26317,0.17%,0.33%
Affidelice Au Chablis Airlines,"$1,008",1366254,40988,0.55%,0.81%
Afghan Hound Airlines,"$1,722",1387529,915769,0.13%,0.26%
African Bush Elephant Airlines,$570,1065660,682022,0.69%,0.97%
African Civet Airlines,"$1,080",1327551,889459,0.51%,0.62%
African Clawed Frog Airlines,"$1,782",650028,52002,0.10%,0.16%
African Forest Elephant Airlines,"$1,342",239802,26378,0.38%,0.51%
African Palm Civet Airlines,$613,416484,299868,0.58%,1.07%
African Penguin Airlines,"$1,457",1935087,270912,0.14%,0.33%
African Rice Airlines,"$1,672",795255,421485,0.18%,0.26%
African Tree Toad Airlines,"$1,255",1756113,561956,0.20%,0.45%
African Violet Airlines,"$1,083",213489,164387,0.36%,0.63%
African Wild Dog Airlines,"$1,666",55150,20406,0.12%,0.22%
Afuega'L Pitu Airlines,"$1,460",1691264,1353011,0.29%,0.48%
Agilis Airlines,"$1,423",1199124,59956,0.15%,0.33%
Ain Airlines,"$1,854",60318,7238,0.30%,0.44%
Ainalrami Airlines,"$1,239",1007257,171234,0.36%,0.55%
Ainu Dog Airlines,"$1,758",430665,288546,0.27%,0.36%
Airag Airlines,"$1,923",458943,178988,0.25%,0.33%
Airedale Airlines,"$1,903",1457278,1180395,0.27%,0.39%
Airedale Terrier Airlines,"$1,379",1827222,712617,0.29%,0.38%
Aisy Cendre Airlines,$969,1458536,700097,0.47%,0.74%
Akbash Airlines,$619,31783,7628,0.88%,1.32%
Akita Airlines,$223,815639,497540,0.93%,1.59%
Aladfar Airlines,$892,963964,722973,0.26%,0.40%
Alasia Airlines,"$1,300",632870,310106,0.26%,0.48%
Alaskan Malamute Airlines,$356,794502,436976,0.74%,1.30%
Albaldah Airlines,$548,1723901,810233,0.47%,0.74%
Albali Airlines,"$1,660",1107503,210426,0.25%,0.38%
Albatross Airlines,"$1,164",420555,42056,0.28%,0.44%
Albireo Airlines,$357,1084826,455627,0.55%,1.29%
Alchiba Airlines,"$1,844",159753,100644,0.16%,0.31%
Alcor Airlines,$746,981438,755707,0.58%,0.74%
Alcyone Airlines,$504,223986,2240,0.36%,0.59%
Aldabra Giant Tortoise Airlines,"$1,661",721529,418487,0.10%,0.27%
Aldebaran Airlines,"$1,693",813862,659228,0.18%,0.30%
Alder Airlines,"$1,604",1885053,754021,0.26%,0.40%
Alderamin Airlines,"$1,907",966585,763602,0.25%,0.37%
Aldhanab Airlines,$718,1034820,486365,0.53%,0.81%
Aldhibah Airlines,$741,1686232,1045464,0.21%,0.59%
Aldulfin Airlines,$764,1470325,558724,0.49%,0.76%
Alfirk Airlines,"$1,297",1300087,156010,0.42%,0.51%
Algedi Airlines,"$1,986",1810685,977770,0.27%,0.33%
Algenib Airlines,"$1,635",1262297,580657,0.28%,0.42%
Algerian Oak Quercus Airlines,"$1,461",1961656,1530092,0.29%,0.49%
Algieba Airlines,$622,1363986,218238,0.25%,0.49%
Algol Airlines,"$1,141",1608808,740052,0.49%,0.62%
Algorab Airlines,$592,1519264,546935,0.85%,1.31%
Alhena Airlines,$324,915744,320510,0.66%,1.58%
Alioth Airlines,$416,1566134,1299891,0.53%,1.08%
Aljanah Airlines,$255,504507,378380,0.71%,1.33%
Alkaid Airlines,$611,1260332,592356,0.30%,0.73%
