airline,average_booking_amount,gross_bookings,user_cancellations,commission_per_booking,fees_per_cancellation,cancellation_percentage,profit
Aardvark Airlines,$866,1091224,829330,0.22%,0.66%,76.00%,"-$2,626,184"
Abbaye De Belloc Airlines,"$1,705",261666,175316,0.10%,0.23%,67.00%,"-$258,159"
Abbaye De Citeaux Airlines,"$1,589",1753382,263007,0.21%,0.38%,15.00%,"$4,134,477"
Abbaye Du Mont Des Cats Airlines,"$1,012",293532,137960,0.18%,0.40%,47.00%,"-$11,389"
Abertam Airlines,"$1,275",1410168,183322,0.41%,0.49%,13.00%,"$6,196,277"
Abondance Airlines,$346,357681,250377,0.48%,1.12%,70.00%,"-$375,209"
Absolutno Airlines,"$1,417",880363,704290,0.23%,0.31%,80.00%,"-$160,224"
Abyssinian Airlines,"$1,235",1130841,949906,0.42%,0.64%,84.00%,"-$1,674,546"
Acamar Airlines,$374,1796577,323384,0.89%,1.72%,18.00%,"$3,888,510"
Acapella Airlines,$501,1202048,468799,0.44%,0.99%,39.00%,"$311,930"
Achernar Airlines,$479,990694,416091,1.03%,1.53%,42.00%,"$1,849,827"
Achird Airlines,"$1,127",452840,72454,0.13%,0.35%,16.00%,"$405,746"
Ackawi Airlines,"$1,668",1953823,312612,0.30%,0.48%,16.00%,"$7,343,246"
Acorn Airlines,"$1,408",1402451,140245,0.34%,0.52%,10.00%,"$5,719,196"
Acrab Airlines,"$1,292",854257,469841,0.22%,0.33%,55.00%,"$468,134"
Acrux Airlines,"$1,290",1091579,185568,0.15%,0.38%,17.00%,"$1,135,463"
Acubens Airlines,$941,677081,446873,0.52%,0.84%,66.00%,"-$248,485"
Adelie Penguin Airlines,$987,652859,489644,0.29%,0.51%,75.00%,"-$566,354"
Adelost Airlines,"$1,473",1789531,1395834,0.33%,0.45%,78.00%,"-$511,447"
Adhafera Airlines,$471,1832892,1081406,0.32%,0.82%,59.00%,"-$1,391,531"
Adhara Airlines,$278,1101018,891825,1.94%,2.41%,81.00%,"-$40,740"
Adhil Airlines,"$1,829",1284276,783408,0.20%,0.31%,61.00%,"$170,169"
Affenpinscher Airlines,"$1,860",526341,26317,0.17%,0.33%,5.00%,"$1,515,599"
Affidelice Au Chablis Airlines,"$1,008",1366254,40988,0.55%,0.81%,3.00%,"$7,220,513"
Afghan Hound Airlines,"$1,722",1387529,915769,0.13%,0.26%,66.00%,"-$1,096,425"
African Bush Elephant Airlines,$570,1065660,682022,0.69%,0.97%,64.00%,"$455,252"
African Civet Airlines,"$1,080",1327551,889459,0.51%,0.62%,67.00%,"$1,253,475"
African Clawed Frog Airlines,"$1,782",650028,52002,0.10%,0.16%,8.00%,"$1,014,304"
African Forest Elephant Airlines,"$1,342",239802,26378,0.38%,0.51%,11.00%,"$1,039,088"
African Palm Civet Airlines,$613,416484,299868,0.58%,1.07%,72.00%,"-$493,947"
African Penguin Airlines,"$1,457",1935087,270912,0.14%,0.33%,14.00%,"$2,522,580"
African Rice Airlines,"$1,672",795255,421485,0.18%,0.26%,53.00%,"$503,636"
African Tree Toad Airlines,"$1,255",1756113,561956,0.20%,0.45%,32.00%,"$1,210,314"
African Violet Airlines,"$1,083",213489,164387,0.36%,0.63%,77.00%,"-$297,543"
African Wild Dog Airlines,"$1,666",55150,20406,0.12%,0.22%,37.00%,"$38,697"
Afuega'L Pitu Airlines,"$1,460",1691264,1353011,0.29%,0.48%,80.00%,"-$2,232,467"
Agilis Airlines,"$1,423",1199124,59956,0.15%,0.33%,5.00%,"$2,296,323"
Ain Airlines,"$1,854",60318,7238,0.30%,0.44%,12.00%,"$271,577"
Ainalrami Airlines,"$1,239",1007257,171234,0.36%,0.55%,17.00%,"$3,381,561"
Ainu Dog Airlines,"$1,758",430665,288546,0.27%,0.36%,67.00%,"$178,938"
Airag Airlines,"$1,923",458943,178988,0.25%,0.33%,39.00%,"$1,059,744"
Airedale Airlines,"$1,903",1457278,1180395,0.27%,0.39%,81.00%,"-$1,337,488"
Airedale Terrier Airlines,"$1,379",1827222,712617,0.29%,0.38%,39.00%,"$3,436,637"
Aisy Cendre Airlines,$969,1458536,700097,0.47%,0.74%,48.00%,"$1,660,983"
Akbash Airlines,$619,31783,7628,0.88%,1.32%,24.00%,"$110,185"
Akita Airlines,$223,815639,497540,0.93%,1.59%,61.00%,"-$72,919"
Aladfar Airlines,$892,963964,722973,0.26%,0.40%,75.00%,"-$359,077"
Alasia Airlines,"$1,300",632870,310106,0.26%,0.48%,49.00%,"$156,764"
Alaskan Malamute Airlines,$356,794502,436976,0.74%,1.30%,55.00%,"$69,917"
Albaldah Airlines,$548,1723901,810233,0.47%,0.74%,47.00%,"$1,147,948"
Albali Airlines,"$1,660",1107503,210426,0.25%,0.38%,19.00%,"$3,304,232"
Albatross Airlines,"$1,164",420555,42056,0.28%,0.44%,10.00%,"$1,148,113"
Albireo Airlines,$357,1084826,455627,0.55%,1.29%,42.00%,"$24,083"
Alchiba Airlines,"$1,844",159753,100644,0.16%,0.31%,63.00%,"-$98,086"
Alcor Airlines,$746,981438,755707,0.58%,0.74%,77.00%,"$115,124"
Alcyone Airlines,$504,223986,2240,0.36%,0.59%,1.00%,"$394,327"
Aldabra Giant Tortoise Airlines,"$1,661",721529,418487,0.10%,0.27%,58.00%,"-$608,683"
Aldebaran Airlines,"$1,693",813862,659228,0.18%,0.30%,81.00%,"-$812,315"
Alder Airlines,"$1,604",1885053,754021,0.26%,0.40%,40.00%,"$2,902,983"
Alderamin Airlines,"$1,907",966585,763602,0.25%,0.37%,79.00%,"-$721,361"
Aldhanab Airlines,$718,1034820,486365,0.53%,0.81%,47.00%,"$1,060,900"
Aldhibah Airlines,$741,1686232,1045464,0.21%,0.59%,62.00%,"-$2,026,514"
Aldulfin Airlines,$764,1470325,558724,0.49%,0.76%,38.00%,"$2,265,474"
Alfirk Airlines,"$1,297",1300087,156010,0.42%,0.51%,12.00%,"$6,114,572"
Algedi Airlines,"$1,986",1810685,977770,0.27%,0.33%,54.00%,"$3,339,627"
Algenib Airlines,"$1,635",1262297,580657,0.28%,0.42%,46.00%,"$1,721,266"
Algerian Oak Quercus Airlines,"$1,461",1961656,1530092,0.29%,0.49%,78.00%,"-$2,801,639"
Algieba Airlines,$622,1363986,218238,0.25%,0.49%,16.00%,"$1,419,090"
Algol Airlines,"$1,141",1608808,740052,0.49%,0.62%,46.00%,"$3,710,231"
Algorab Airlines,$592,1519264,546935,0.85%,1.31%,36.00%,"$3,393,428"
Alhena Airlines,$324,915744,320510,0.66%,1.58%,35.00%,"$321,886"
Alioth Airlines,$416,1566134,1299891,0.53%,1.08%,83.00%,"-$2,362,356"
Aljanah Airlines,$255,504507,378380,0.71%,1.33%,75.00%,"-$373,334"
Alkaid Airlines,$611,1260332,592356,0.30%,0.73%,47.00%,"-$360,707"
Alkalurops Airlines,"$1,638",613580,202481,0.33%,0.44%,33.00%,"$1,888,295"
Alkaphrah Airlines,"$1,995",1043878,511500,0.10%,0.20%,49.00%,"$88,000"
Alkarab Airlines,$937,186236,31660,0.59%,0.92%,17.00%,"$760,384"
Alkes Airlines,$583,1948887,38978,0.31%,0.55%,2.00%,"$3,402,366"
Allgauer Emmentaler Airlines,$275,1111573,66694,1.87%,2.56%,6.00%,"$5,233,511"
Alligator Airlines,$268,625443,494100,1.13%,2.01%,79.00%,"-$774,361"
Almaaz Airlines,"$1,442",1595399,414804,0.20%,0.37%,26.00%,"$2,396,288"
Almach Airlines,$317,1082193,357124,0.63%,1.65%,33.00%,"$285,806"
Almond Airlines,"$1,768",364714,280830,0.21%,0.27%,77.00%,"$31,474"
Alnair Airlines,$599,1592447,143320,0.52%,0.75%,9.00%,"$4,309,003"
Alnasl Airlines,"$1,107",971973,145796,0.38%,0.62%,15.00%,"$3,069,490"
Alnilam Airlines,$959,1555097,606488,0.51%,0.76%,39.00%,"$3,149,381"
Alnitak Airlines,"$1,812",1962308,1373616,0.29%,0.37%,70.00%,"$936,018"
Alniyat Airlines,"$1,410",8823,0,0.26%,0.35%,0.00%,"$31,851"
Alpaca Airlines,"$1,489",631346,309360,0.36%,0.53%,49.00%,"$952,445"
Alphard Airlines,$216,1997517,119851,1.55%,2.49%,6.00%,"$6,026,908"
Alphecca Airlines,"$1,424",1261928,530010,0.19%,0.26%,42.00%,"$1,468,126"
Alpheratz Airlines,"$1,885",810386,291739,0.16%,0.24%,36.00%,"$1,085,917"
Alpherg Airlines,$274,882657,723779,1.93%,2.44%,82.00%,"-$165,588"
Alpine Dachsbracke Airlines,$585,1135173,964897,0.33%,0.84%,85.00%,"-$2,527,462"
Alpinus Airlines,"$1,130",427388,303445,0.44%,0.63%,71.00%,"-$15,724"
Alrakis Airlines,"$1,134",1362662,422425,0.22%,0.46%,31.00%,"$1,111,388"
Alrescha Airlines,"$1,823",930877,493365,0.14%,0.28%,53.00%,"-$109,007"
